epoch,train_loss,train_acc,val_loss,val_acc
0,1.969540,0.125850,1.949463,0.136508
1,1.651038,0.606803,1.977024,0.133333
2,1.099468,0.844218,2.190578,0.165079
3,0.648558,0.963946,2.444280,0.139683
4,0.584005,0.980952,2.426781,0.139683
5,0.570422,0.991837,2.413317,0.139683
6,0.563553,0.990476,2.416676,0.142857
7,0.550479,0.994558,2.393856,0.126984
8,0.548574,0.993197,2.365634,0.152381
9,0.532762,0.997959,2.346229,0.165079
10,0.529148,0.997959,2.331419,0.152381
11,0.523657,0.997279,2.337255,0.146032
12,0.521801,0.998639,2.318081,0.171429
13,0.516938,1.000000,2.327675,0.174603
14,0.514647,0.999320,2.306415,0.174603
15,0.509703,1.000000,2.290285,0.161905
16,0.504587,1.000000,2.287822,0.165079
17,0.507243,1.000000,2.294862,0.174603
18,0.502373,1.000000,2.274140,0.146032
19,0.502281,1.000000,2.284008,0.161905
20,0.496586,1.000000,2.255349,0.155556
21,0.498581,1.000000,2.257548,0.152381
22,0.495329,1.000000,2.245523,0.165079
23,0.492349,1.000000,2.243809,0.168254
24,0.492136,1.000000,2.228718,0.168254
25,0.491346,1.000000,2.222925,0.161905
26,0.491184,1.000000,2.221810,0.171429
27,0.491028,1.000000,2.218348,0.171429
28,0.489899,0.999320,2.215049,0.149206
29,0.485782,1.000000,2.205532,0.161905
30,0.486857,1.000000,2.208717,0.158730
31,0.483701,1.000000,2.212492,0.146032
32,0.488347,1.000000,2.204817,0.155556
33,0.484835,1.000000,2.195358,0.168254
34,0.481510,1.000000,2.190629,0.165079
35,0.483127,1.000000,2.191060,0.146032
36,0.480756,1.000000,2.195714,0.149206
37,0.482111,1.000000,2.188984,0.155556
38,0.479854,1.000000,2.169586,0.155556
39,0.481942,1.000000,2.176227,0.155556
40,0.480370,1.000000,2.176210,0.149206
41,0.477355,1.000000,2.168360,0.168254
42,0.476189,1.000000,2.174756,0.158730
43,0.476463,1.000000,2.166043,0.161905
44,0.477406,1.000000,2.165532,0.155556
45,0.477014,1.000000,2.171359,0.152381
46,0.477734,1.000000,2.167794,0.165079
47,0.476204,1.000000,2.169194,0.155556
48,0.474899,1.000000,2.159438,0.158730
49,0.476539,1.000000,2.156834,0.152381
50,0.473393,1.000000,2.151919,0.158730
51,0.474128,1.000000,2.152577,0.158730
52,0.473794,1.000000,2.150668,0.155556
53,0.472800,1.000000,2.141433,0.168254
54,0.473364,1.000000,2.141225,0.168254
55,0.473289,1.000000,2.143379,0.155556
56,0.473042,1.000000,2.140838,0.161905
57,0.472264,1.000000,2.135969,0.168254
58,0.471843,1.000000,2.139895,0.171429
59,0.471376,1.000000,2.139124,0.165079
60,0.471284,1.000000,2.131948,0.161905
61,0.471922,1.000000,2.132802,0.165079
62,0.472206,1.000000,2.135536,0.171429
63,0.470837,1.000000,2.136564,0.180952
64,0.471491,1.000000,2.134925,0.171429
65,0.471413,1.000000,2.135470,0.168254
66,0.471224,1.000000,2.133079,0.165079
67,0.470401,1.000000,2.133967,0.161905
68,0.471642,1.000000,2.133139,0.174603
69,0.469966,1.000000,2.133260,0.158730
70,0.469169,1.000000,2.133056,0.161905
71,0.469926,1.000000,2.132832,0.158730
72,0.468381,1.000000,2.131695,0.168254
73,0.470343,1.000000,2.130960,0.165079
74,0.468015,1.000000,2.130143,0.158730
75,0.469892,1.000000,2.131245,0.165079
76,0.469727,1.000000,2.131049,0.165079
77,0.470658,1.000000,2.129513,0.168254
78,0.469730,1.000000,2.129503,0.165079
79,0.469164,1.000000,2.130235,0.171429
