epoch,train_loss,train_acc,val_loss,val_acc
0,3.586039,0.137415,1.946811,0.142857
1,1.948098,0.142177,1.946023,0.142857
2,1.947366,0.137415,1.946054,0.142857
3,1.947130,0.133333,1.946035,0.142857
4,1.947531,0.126531,1.946002,0.142857
5,1.947650,0.140816,1.946049,0.142857
6,1.948358,0.132653,1.946205,0.142857
7,1.947351,0.127211,1.945960,0.142857
8,1.947360,0.128571,1.945968,0.142857
9,1.947635,0.123810,1.945970,0.142857
10,1.947916,0.129252,1.945923,0.142857
11,1.948436,0.135374,1.945958,0.142857
12,1.947559,0.127891,1.946064,0.142857
13,1.946834,0.136054,1.945975,0.142857
14,1.947617,0.130612,1.945958,0.142857
15,1.947241,0.132653,1.946085,0.142857
16,1.946951,0.139456,1.946160,0.142857
17,1.946943,0.130612,1.945977,0.142857
18,1.947012,0.125170,1.945925,0.142857
19,1.947785,0.136054,1.945999,0.142857
20,1.947233,0.135374,1.945974,0.142857
21,1.947346,0.118367,1.945971,0.142857
22,1.947637,0.112925,1.946012,0.142857
23,1.946790,0.123129,1.945973,0.142857
24,1.947206,0.129932,1.945952,0.142857
25,1.947020,0.127211,1.945960,0.142857
26,1.947295,0.134014,1.945985,0.142857
27,1.946880,0.131293,1.945940,0.142857
28,1.946923,0.134014,1.945977,0.142857
29,1.946601,0.139456,1.945960,0.142857
30,1.946951,0.125170,1.945933,0.142857
31,1.946644,0.130612,1.945962,0.142857
32,1.946715,0.142857,1.945956,0.142857
33,1.946929,0.138776,1.945966,0.142857
34,1.946864,0.131293,1.945922,0.142857
35,1.946453,0.132653,1.945924,0.142857
36,1.946423,0.131973,1.945921,0.142857
37,1.947057,0.123810,1.945956,0.142857
38,1.946986,0.134014,1.945964,0.142857
39,1.946894,0.117687,1.945916,0.142857
40,1.946630,0.135374,1.945927,0.142857
41,1.946581,0.134014,1.945965,0.142857
42,1.946769,0.131293,1.945948,0.142857
43,1.946598,0.116327,1.945922,0.142857
44,1.946578,0.128571,1.945939,0.142857
45,1.946388,0.136054,1.945912,0.142857
46,1.946602,0.133333,1.945915,0.142857
47,1.946446,0.129252,1.945927,0.142857
48,1.946394,0.131973,1.945922,0.142857
49,1.946306,0.129252,1.945918,0.142857
50,1.946258,0.134694,1.945922,0.142857
51,1.946455,0.131293,1.945918,0.142857
52,1.946325,0.135374,1.945916,0.142857
53,1.946342,0.129252,1.945918,0.142857
54,1.946162,0.124490,1.945915,0.142857
55,1.946333,0.114966,1.945914,0.142857
56,1.946148,0.131293,1.945914,0.142857
57,1.946243,0.121769,1.945912,0.142857
58,1.946156,0.131973,1.945911,0.142857
59,1.946102,0.127211,1.945914,0.142857
60,1.946168,0.139456,1.945918,0.142857
61,1.946043,0.129932,1.945911,0.142857
62,1.946078,0.121769,1.945912,0.142857
63,1.946052,0.112925,1.945912,0.142857
64,1.946076,0.132653,1.945911,0.142857
65,1.946002,0.129252,1.945911,0.142857
66,1.946012,0.129252,1.945911,0.142857
67,1.945997,0.125850,1.945910,0.142857
68,1.945983,0.132653,1.945910,0.142857
69,1.945986,0.135374,1.945910,0.142857
70,1.945959,0.131293,1.945911,0.142857
71,1.945942,0.142857,1.945910,0.142857
72,1.945943,0.142857,1.945910,0.142857
73,1.945947,0.142857,1.945910,0.142857
74,1.945926,0.142857,1.945910,0.142857
75,1.945923,0.142857,1.945910,0.142857
76,1.945919,0.142857,1.945910,0.142857
77,1.945915,0.142857,1.945910,0.142857
78,1.945912,0.142857,1.945910,0.142857
79,1.945911,0.142857,1.945910,0.142857
