epoch,train_loss,train_acc,val_loss,val_acc
0,1.956907,0.131120,1.957444,0.107698
1,1.781122,0.279381,2.014707,0.132681
2,1.350630,0.458668,2.224767,0.137070
3,0.855518,0.642800,2.768319,0.156989
4,0.523246,0.771245,3.411274,0.156989
5,0.357604,0.848702,3.833538,0.180284
6,0.277414,0.883127,4.223609,0.172181
7,0.222491,0.908295,4.441402,0.166779
8,0.207867,0.916829,4.624353,0.171506
9,0.169803,0.931438,4.894343,0.167454
10,0.152145,0.939973,4.971210,0.170831
11,0.146020,0.942215,5.024934,0.179946
12,0.163363,0.937152,4.961992,0.164078
13,0.116678,0.956173,5.295626,0.162728
14,0.118416,0.953786,5.340106,0.176907
15,0.106121,0.956173,5.392428,0.172856
16,0.118252,0.952846,5.457133,0.165766
17,0.110488,0.957764,5.436775,0.169818
18,0.102651,0.961235,5.434326,0.172856
19,0.103165,0.957475,5.272391,0.171843
20,0.093797,0.964490,5.538497,0.182647
21,0.084700,0.967817,5.478249,0.179946
22,0.090545,0.965285,5.505489,0.189399
23,0.095107,0.964707,5.469867,0.173194
24,0.081740,0.971216,5.655446,0.182647
25,0.074193,0.970926,5.711594,0.187036
26,0.075073,0.971216,5.766836,0.185348
27,0.059342,0.977218,5.968313,0.169480
28,0.068735,0.972879,6.046755,0.172519
29,0.077673,0.971216,5.901788,0.178933
30,0.082087,0.968829,5.776103,0.176570
31,0.061531,0.974760,6.048611,0.183322
32,0.072002,0.972951,6.067557,0.183660
33,0.069574,0.974181,5.931997,0.183997
34,0.081712,0.969480,5.927931,0.182309
35,0.064930,0.976857,6.065815,0.173531
36,0.065969,0.976351,5.901745,0.172519
37,0.064382,0.975627,6.090423,0.154963
38,0.058816,0.977291,5.989287,0.172519
39,0.052844,0.979750,6.088905,0.179946
40,0.051095,0.980979,6.107190,0.176570
41,0.057509,0.979244,6.014610,0.172181
42,0.060676,0.978303,5.927196,0.176907
43,0.061750,0.977074,5.791598,0.179608
44,0.057318,0.979894,5.899024,0.177245
45,0.057222,0.980762,5.887250,0.185010
46,0.056134,0.977363,5.646887,0.188049
47,0.054714,0.979099,5.943067,0.179271
48,0.047632,0.982860,6.078202,0.180959
49,0.038046,0.985969,6.165984,0.174882
50,0.038606,0.984523,6.361180,0.175219
51,0.036328,0.986331,6.290349,0.186698
52,0.045823,0.981992,6.427830,0.175557
53,0.042338,0.984161,6.466539,0.182647
54,0.054501,0.979894,6.206037,0.189061
55,0.050301,0.981919,6.285541,0.175895
56,0.055110,0.978520,6.232524,0.182309
57,0.061477,0.975917,6.005925,0.178933
58,0.059917,0.977435,5.700533,0.181634
59,0.053552,0.978810,5.829045,0.185348
60,0.048597,0.981847,5.797634,0.187711
61,0.045042,0.982281,5.991896,0.176907
62,0.041029,0.984378,6.036531,0.178258
63,0.033336,0.987199,5.978281,0.182984
64,0.039909,0.985029,6.099609,0.176232
65,0.042244,0.985246,5.971995,0.191425
66,0.035516,0.986620,6.171952,0.174207
67,0.044298,0.983727,6.220929,0.178258
68,0.041502,0.983511,6.143750,0.180959
69,0.041275,0.985536,6.314786,0.171843
70,0.040034,0.985391,6.142919,0.169142
71,0.038371,0.987488,6.215104,0.165766
72,0.041432,0.985246,6.232389,0.182309
73,0.040455,0.985536,6.024269,0.168467
74,0.036456,0.987344,5.965080,0.179946
75,0.041701,0.984595,6.146605,0.165091
76,0.043410,0.985680,6.106809,0.174207
77,0.048526,0.982209,5.766008,0.167454
78,0.053807,0.980907,5.334907,0.183322
79,0.042217,0.984885,5.679448,0.174544
