epoch,train_loss,train_acc,val_loss,val_acc
0,1.123034,0.588425,6.233709,0.449136
1,0.696348,0.732623,8.337288,0.325798
2,0.572127,0.774664,3.594328,0.449136
3,0.514125,0.794072,1.851625,0.495346
4,0.479634,0.804933,3.035202,0.531915
5,0.437192,0.822169,11.079540,0.218418
6,0.405675,0.834431,6.438006,0.337434
7,0.372765,0.844381,9.743540,0.405918
8,0.355545,0.852438,4.553867,0.497008
9,0.328563,0.863089,4.640440,0.497673
10,0.307075,0.871427,4.761330,0.545878
11,0.310337,0.871006,9.860051,0.425532
12,0.300419,0.877102,10.936005,0.353391
13,0.292014,0.880886,7.628282,0.413231
14,0.284173,0.882918,11.910378,0.456782
15,0.265161,0.890905,1.014312,0.638963
16,0.247771,0.897702,7.515870,0.572806
17,0.245552,0.900154,5.287849,0.390625
18,0.247026,0.896931,5.905861,0.387965
19,0.229051,0.902957,3.414314,0.501330
20,0.232938,0.901135,10.799696,0.221410
21,0.213374,0.911225,10.703121,0.447473
22,0.225064,0.907511,3.940367,0.396941
23,0.208480,0.915078,3.161209,0.544548
24,0.204016,0.913957,3.244087,0.539229
25,0.193651,0.917951,5.478233,0.328790
26,0.196454,0.918021,4.786053,0.564162
27,0.199143,0.919493,1.931755,0.609043
28,0.197694,0.916970,7.273598,0.551197
29,0.185790,0.922155,3.415540,0.548870
30,0.185224,0.922856,19.916147,0.260306
31,0.175735,0.926640,2.836855,0.636636
32,0.165644,0.930774,2.905746,0.609707
33,0.173408,0.929442,7.269711,0.420878
34,0.171889,0.928111,3.094890,0.625332
35,0.161644,0.931334,4.179265,0.513963
36,0.147333,0.938901,2.174199,0.679521
37,0.164383,0.928742,15.020959,0.329455
38,0.164367,0.931895,3.837563,0.462434
39,0.150130,0.935748,4.078374,0.487367
40,0.143740,0.938341,4.533989,0.534907
41,0.140962,0.942335,1.600458,0.674535
42,0.156828,0.937010,12.129839,0.316489
43,0.156159,0.937570,3.715395,0.578790
44,0.140213,0.942545,8.566577,0.362367
45,0.144464,0.940933,1.696541,0.686835
46,0.137626,0.943806,5.803143,0.505984
47,0.130628,0.944577,2.634422,0.609043
48,0.120817,0.948641,6.419005,0.515293
49,0.137205,0.943386,1.871362,0.621343
50,0.130956,0.945207,10.536604,0.462766
51,0.134041,0.945137,11.182748,0.431516
52,0.125891,0.946959,6.608306,0.519947
53,0.125620,0.948220,5.880167,0.481715
54,0.133801,0.945348,10.077069,0.403590
55,0.119561,0.950673,2.832453,0.531250
56,0.118498,0.949692,4.240508,0.602394
57,0.113242,0.952564,2.758308,0.558511
58,0.116511,0.952004,9.418350,0.408910
59,0.111597,0.954036,1.221857,0.685505
60,0.109082,0.953545,5.710973,0.474402
61,0.116114,0.954246,5.652041,0.536237
62,0.114671,0.952564,6.922167,0.451130
63,0.105674,0.956068,2.589437,0.573138
64,0.103203,0.958800,4.011628,0.590758
65,0.108887,0.954877,3.274593,0.575798
66,0.111839,0.953615,1.332888,0.744681
67,0.102386,0.955157,3.979713,0.589096
68,0.100813,0.959011,0.907496,0.786569
69,0.105634,0.955507,2.844821,0.634309
70,0.093820,0.961883,1.053092,0.751330
71,0.104224,0.957820,9.986667,0.415891
72,0.109387,0.954316,3.429909,0.619348
73,0.100184,0.958030,8.767124,0.342753
74,0.101244,0.958730,3.417770,0.598072
75,0.096365,0.959711,3.233405,0.544880
76,0.097171,0.960552,1.605140,0.725731
77,0.097418,0.960062,1.631999,0.687832
78,0.088064,0.962444,2.602847,0.543218
79,0.088835,0.962444,2.797621,0.635971
