epoch,train_loss,train_acc,val_loss,val_acc
0,1.956065,0.138794,1.948360,0.122855
1,1.817845,0.272293,1.998756,0.134498
2,1.430740,0.442730,2.230438,0.139400
3,0.951438,0.621927,2.554998,0.155025
4,0.581710,0.762879,3.167615,0.162684
5,0.386233,0.841919,3.671584,0.180147
6,0.269815,0.889971,4.138744,0.170343
7,0.217152,0.912330,4.414641,0.177083
8,0.178958,0.929066,4.651585,0.181679
9,0.155899,0.940573,4.894332,0.177696
10,0.146674,0.945149,4.916934,0.176164
11,0.122781,0.953452,5.079962,0.179534
12,0.120724,0.953256,5.239230,0.176164
13,0.104347,0.961428,5.274132,0.175245
14,0.090595,0.965416,5.504984,0.177696
15,0.088157,0.967050,5.574928,0.170037
16,0.090567,0.964566,5.586822,0.174939
17,0.093186,0.965154,5.495462,0.172488
18,0.092503,0.964566,5.517729,0.168199
19,0.083938,0.968031,5.549931,0.170650
20,0.075963,0.970777,5.696012,0.175551
21,0.072751,0.970907,5.740244,0.174020
22,0.065424,0.974961,5.881442,0.177083
23,0.064244,0.976203,6.023544,0.185968
24,0.065109,0.975680,6.120554,0.176164
25,0.076082,0.972673,5.913919,0.181373
26,0.067591,0.975745,5.968547,0.177083
27,0.064690,0.975288,6.072398,0.174939
28,0.065731,0.976661,5.945828,0.184743
29,0.056639,0.978230,6.094985,0.186887
30,0.056096,0.979799,6.140177,0.176777
31,0.059367,0.978426,6.113967,0.179534
32,0.062502,0.975876,6.119531,0.182904
33,0.059613,0.977641,6.111359,0.174939
34,0.058215,0.980060,6.219545,0.174632
35,0.050874,0.980322,6.255250,0.172488
36,0.050872,0.983002,6.393391,0.168505
37,0.051350,0.981237,6.332334,0.180453
38,0.048009,0.982871,6.340909,0.175245
39,0.050829,0.982087,6.337471,0.169118
40,0.045117,0.984113,6.495546,0.171569
41,0.042243,0.984375,6.492880,0.179228
42,0.042723,0.984767,6.589611,0.182292
43,0.051989,0.979668,6.487451,0.176471
44,0.049350,0.981564,6.502462,0.174326
45,0.054577,0.980060,6.431068,0.174326
46,0.050036,0.980126,6.478334,0.173100
47,0.048503,0.981825,6.386114,0.177083
48,0.046958,0.982871,6.361983,0.175858
49,0.044332,0.983656,6.451757,0.167279
50,0.039517,0.985486,6.565984,0.166973
51,0.041115,0.983917,6.605044,0.173100
52,0.037984,0.985029,6.642706,0.183517
53,0.038093,0.987513,6.646612,0.178002
54,0.032781,0.987644,6.614345,0.171569
55,0.034817,0.986402,6.795511,0.171875
56,0.039275,0.985617,6.746858,0.183517
57,0.041496,0.986140,6.676991,0.179841
58,0.039186,0.984963,6.684110,0.173100
59,0.035502,0.986075,6.727463,0.173713
60,0.040176,0.985879,6.719434,0.174020
61,0.043399,0.984440,6.656389,0.178615
62,0.039811,0.985813,6.577187,0.180760
63,0.032525,0.987317,6.661983,0.178615
64,0.032841,0.988298,6.653791,0.171875
65,0.034254,0.987905,6.677583,0.179534
66,0.034304,0.987448,6.800454,0.180760
67,0.035810,0.987317,6.709769,0.177696
68,0.035786,0.987121,6.752324,0.183517
69,0.034000,0.987775,6.797963,0.176777
70,0.039087,0.985813,6.622554,0.184436
71,0.037043,0.986009,6.569679,0.182904
72,0.036121,0.987840,6.586802,0.183211
73,0.031762,0.987840,6.551109,0.183517
74,0.035136,0.987578,6.643225,0.177390
75,0.033952,0.986532,6.633712,0.170956
76,0.033921,0.987513,6.564587,0.178002
77,0.030576,0.989082,6.720473,0.173713
78,0.030760,0.987905,6.678321,0.175551
79,0.028623,0.989017,6.688201,0.188113
