epoch,train_loss,train_acc,val_loss,val_acc
0,1.967468,0.159970,1.944246,0.162390
1,1.953166,0.119792,1.926829,0.292708
2,1.956315,0.165923,1.949650,0.085415
3,1.948412,0.188244,1.972745,0.131668
4,1.944033,0.152530,1.940596,0.156651
5,1.943041,0.191964,1.961745,0.160702
6,1.937401,0.154762,1.954631,0.102296
7,1.943525,0.145833,1.942536,0.147198
8,1.930929,0.133929,1.890595,0.257596
9,1.920677,0.215774,1.940181,0.071573
10,1.928689,0.132440,1.883299,0.300135
11,1.925854,0.162202,1.919510,0.130655
12,1.940354,0.162946,1.921618,0.182647
13,1.930294,0.116815,1.920808,0.137745
14,1.914332,0.197173,1.918238,0.168130
15,1.901343,0.189732,1.903159,0.191762
16,1.887676,0.182292,1.890924,0.159352
17,1.875734,0.168899,1.876245,0.193113
18,1.870769,0.145833,1.880142,0.188049
19,1.843615,0.203869,1.869453,0.189061
20,1.839582,0.200149,1.904025,0.161377
21,1.826454,0.214286,1.829180,0.204591
22,1.818951,0.194940,1.858049,0.195814
23,1.804556,0.231399,1.874855,0.193788
24,1.775224,0.226190,1.834690,0.216745
25,1.787824,0.215774,1.821683,0.221134
26,1.768249,0.241071,1.799834,0.245442
27,1.774435,0.252232,1.938269,0.163741
28,1.811696,0.221726,1.786231,0.256921
29,1.794988,0.244792,1.779796,0.254558
30,1.759414,0.259673,1.755727,0.275490
31,1.769494,0.251488,1.790695,0.269750
32,1.753329,0.270833,1.886692,0.224848
33,1.727309,0.281250,1.728499,0.323093
34,1.706199,0.284970,1.752282,0.273464
35,1.735198,0.301339,1.824310,0.212357
36,1.729793,0.280506,1.752431,0.284605
37,1.711174,0.291667,1.795517,0.259959
38,1.700029,0.311756,1.758493,0.257259
39,1.690206,0.293155,1.721501,0.308238
40,1.703200,0.311012,1.680626,0.346388
41,1.680030,0.308036,1.834518,0.209993
42,1.665337,0.335565,1.689375,0.329169
43,1.656069,0.325893,1.630372,0.363268
44,1.653585,0.332589,1.688546,0.311951
45,1.672326,0.312500,1.694795,0.340311
46,1.627091,0.366071,1.691359,0.301485
47,1.615731,0.331845,1.653114,0.335246
48,1.618090,0.357887,1.632020,0.347400
49,1.599231,0.358631,1.657267,0.329507
50,1.597115,0.357143,1.695770,0.307562
51,1.601778,0.349702,1.802686,0.277515
52,1.618939,0.341518,1.579921,0.374409
53,1.579440,0.385417,1.877422,0.244429
54,1.602138,0.354911,1.738858,0.274139
55,1.602325,0.345982,1.660129,0.328494
56,1.574145,0.374256,1.603011,0.357191
57,1.546763,0.369048,1.678743,0.311614
58,1.542722,0.378720,1.789805,0.286631
59,1.562583,0.372024,1.633151,0.348413
60,1.537018,0.382440,1.553722,0.386226
61,1.510099,0.376488,1.797765,0.252194
62,1.509324,0.397321,1.554035,0.378798
63,1.521751,0.389881,1.615459,0.349426
64,1.539276,0.395089,1.619741,0.360905
65,1.545501,0.364583,1.575257,0.373059
66,1.522995,0.409226,1.658828,0.316678
67,1.512319,0.366815,1.655580,0.325793
68,1.482796,0.414435,1.517179,0.388926
69,1.487779,0.401042,1.503042,0.401080
70,1.470196,0.400298,1.622320,0.343687
71,1.454082,0.401042,1.501931,0.414247
72,1.481422,0.403274,1.582189,0.367995
73,1.476417,0.399554,1.488588,0.419986
74,1.492774,0.377976,1.583495,0.348413
75,1.512554,0.409226,1.583618,0.378798
76,1.445516,0.427083,1.483575,0.416610
77,1.415724,0.410714,1.563128,0.380486
78,1.418116,0.418155,1.565852,0.384537
79,1.448289,0.403274,1.594934,0.361918
