epoch,train_loss,train_acc,val_loss,val_acc
0,1.948117,0.150969,1.892519,0.166442
1,1.891777,0.167390,1.846720,0.210331
2,1.799307,0.224175,1.765131,0.181972
3,1.734969,0.274740,1.700166,0.317016
4,1.683191,0.323857,1.654561,0.372721
5,1.626181,0.373047,1.537046,0.409183
6,1.555326,0.407841,1.565942,0.362255
7,1.511834,0.430628,1.499450,0.417623
8,1.472454,0.450521,1.452555,0.428764
9,1.426586,0.472005,1.542942,0.423700
10,1.393344,0.487558,1.333753,0.489872
11,1.365066,0.495660,1.362499,0.495611
12,1.330070,0.505570,1.313421,0.497299
13,1.309630,0.519242,1.279432,0.527346
14,1.272519,0.527271,1.259612,0.529372
15,1.263565,0.529152,1.320117,0.535449
16,1.233794,0.542462,1.234504,0.533086
17,1.215897,0.543837,1.294523,0.506752
18,1.191136,0.555700,1.211698,0.554693
19,1.168740,0.563006,1.293757,0.525321
20,1.164958,0.559679,1.249509,0.531398
21,1.139966,0.569444,1.212299,0.552330
22,1.127618,0.568504,1.182700,0.544564
23,1.107406,0.582393,1.155326,0.564146
24,1.112584,0.580295,1.064797,0.599932
25,1.071808,0.591508,1.106696,0.591492
26,1.064474,0.595775,1.182699,0.559419
27,1.056415,0.597584,1.137058,0.576300
28,1.047449,0.600839,1.055549,0.599932
29,1.039210,0.601418,1.041308,0.616475
30,1.039273,0.605613,1.032483,0.619514
31,1.023004,0.608579,1.165728,0.580014
32,1.003890,0.618779,1.037460,0.599932
33,1.027907,0.607133,1.000605,0.621202
34,0.995648,0.621166,1.113322,0.566847
35,0.978226,0.624277,1.394486,0.514855
36,0.976928,0.628689,1.020338,0.613099
37,0.966794,0.630787,0.982391,0.639095
38,0.959046,0.630859,1.004994,0.625928
39,0.947845,0.636936,0.972898,0.630993
40,0.947745,0.637442,1.118166,0.597232
41,0.948158,0.637804,1.017782,0.606347
42,0.933549,0.639829,1.081544,0.594868
43,0.945140,0.640046,1.094354,0.596219
44,0.915227,0.648148,1.226590,0.574274
45,0.922291,0.649667,0.892447,0.666779
46,0.910947,0.658420,1.013703,0.627279
47,0.896385,0.657046,0.941650,0.640783
48,0.898287,0.654369,0.885581,0.671843
49,0.902014,0.652778,1.008725,0.637745
50,0.893727,0.658927,1.030614,0.603646
51,0.880372,0.667173,0.901643,0.662390
52,0.910242,0.654659,0.984103,0.639095
53,0.884002,0.660952,0.980733,0.634706
54,0.875368,0.663990,1.034316,0.615463
55,0.864918,0.667969,0.928343,0.658339
56,0.872135,0.666088,0.873242,0.685685
57,0.874091,0.667535,1.053243,0.625253
58,0.854743,0.671658,0.960974,0.646185
59,0.870767,0.668041,0.950296,0.654963
60,0.872193,0.665726,1.072470,0.615800
61,0.847597,0.677734,0.942949,0.645510
62,0.852361,0.670067,1.000641,0.623903
63,0.851117,0.674841,1.013166,0.622890
64,0.838783,0.677228,1.030049,0.634369
65,0.839151,0.677300,0.933198,0.648548
66,0.847460,0.672454,0.938315,0.661377
67,0.839241,0.677879,0.882345,0.674544
68,0.820288,0.682364,0.941812,0.666442
69,0.831666,0.677734,1.191757,0.600270
70,0.826531,0.680628,1.009262,0.640108
71,0.824260,0.682364,0.992941,0.638420
72,0.816486,0.687428,0.904179,0.674882
73,0.844742,0.678747,0.897788,0.669480
74,0.831990,0.680628,1.017501,0.622215
75,0.802652,0.690394,0.947071,0.651587
76,0.798818,0.689598,1.038162,0.637745
77,0.809514,0.684968,0.889696,0.669142
78,0.807388,0.687066,1.005653,0.639433
79,0.810622,0.687862,1.059109,0.621877
