epoch,train_loss,train_acc,val_loss,val_acc
0,1.111455,0.628551,2.001861,0.203175
1,0.494046,0.819602,8.231079,0.142857
2,0.317336,0.890625,5.096432,0.396825
3,0.203235,0.938210,42.179421,0.142857
4,0.165353,0.948864,15.096884,0.422222
5,0.154164,0.950994,82.509114,0.142857
6,0.151031,0.953835,21.436533,0.142857
7,0.113989,0.959517,58.591718,0.142857
8,0.103945,0.965199,49.019803,0.152381
9,0.091556,0.976562,41.079306,0.155556
10,0.061705,0.978693,43.361254,0.142857
11,0.096053,0.968040,17.125598,0.142857
12,0.051656,0.980824,26.872598,0.285714
13,0.050069,0.984375,30.087109,0.190476
14,0.063188,0.975142,22.216004,0.142857
15,0.041415,0.986506,46.394094,0.155556
16,0.065826,0.971591,17.787956,0.292063
17,0.068574,0.975142,6.127478,0.317460
18,0.065556,0.980824,33.494777,0.142857
19,0.067583,0.973722,36.604849,0.142857
20,0.048823,0.982955,34.780297,0.142857
21,0.050937,0.982955,29.348070,0.279365
22,0.048009,0.981534,20.157743,0.390476
